facility_id,facility_name,facility_type,capacity,region,licence_issue_date,inspection_date,gps_location,remarks,latitude,longitude
00019,Rodriguez Mayer and Hamilton,clinic,474,st. joseph,2025-12-31,2024-02-27,58716021298428,missing,12.98428,-58.71602
2ba130,Brown PLC Polyclinic,polyclinic,0,st. james,2016-07-07,2024-05-28,124345591710,reinspection due,12.4345,-59.171
missing,Guerrero PLC Hospital,health center,0,st. george,2019-12-25,2023-05-31,59103851284030,reinspection due,12.8403,-59.10385
022,Baker-Taylor Hosp,missing,0,st. joseph,2018-02-04,2019-06-02,59241151270994,missing,12.70994,-59.24115
23,Allen Riley and Kennedy,hospital,0,st. peter,2025-10-22,2022-10-31,,reinspection due,13.0,-59.0
23,Allen Riley and Kennedy,hospital,0,st. peter,2025-10-22,2022-10-31,,reinspection due,13.0,-59.0
024,Lowe-Morris Health Centre,community health center,408,st. john,2017-01-04,2025-11-23,,,13.0,-59.0
HF0025,Adams-Silva-and-Davidson Medical Center,missing,99,st. george,2021-09-03,2025-12-11,59068831311901,,13.11901,-59.06883
missing,Lopez Allen and Estrada Hosp,hospital,285,st. michael,2018-10-14,2023-05-20,,reinspection due,13.0,-59.0
3b7308,Miller Pennington and Blake,hospital,0,st. peter,2022-06-23,2022-05-02,58843681285638,missing,12.85638,-58.84368
00028,Johnson Group Clinic,health center,10,st. michael,2023-07-25,2021-06-25,59241231312849,,13.12849,-59.24123
00028,Johnson Group Clin,health center,10,st. michael,2023-07-25,2021-06-25,59241231312849,,13.12849,-59.24123
029,Bentley Scott and Graves Clinic,missing,0,st. joseph,2019-12-22,2019-10-30,13246295898848,,13.24629,-58.98848
030,Owens Ltd,hospital,495,missing,2022-08-03,2025-02-28,58802171314441,followup ,13.14441,-58.80217
00031,Price Andrews and Scott Medical Center,community health center,0,st. andrew,2023-07-22,2019-11-06,,missing,13.0,-59.0
missing,Young Dickerson and Wells,health center,416,st. peter,2022-04-03,2023-11-02,59231371299300,good,12.993,-59.23137
033,Cook-Dean,clinic,42,christ church,2024-04-04,2020-07-22,59053771323725,,13.23725,-59.05377
776a5f,Cook Potter and Fritz,health center,0,christ church,2025-12-27,2023-04-21,58831821277064,missing,12.77064,-58.83182
00035,Johnson Ltd Hosp,community health center,295,missing,2017-01-20,2024-07-29,125833585632,,12.5833,-58.5632
00036,Harvey PLC Clinic,missing,0,st. peter,2021-08-21,2022-05-20,59184861303728,needs upgrade,13.03728,-59.18486
00036,Harvey PLC Clin,missing,0,st. peter,2021-08-21,2022-05-20,59184861303728,needs upgrade,13.03728,-59.18486
00037,Jones Group Hosp,clinic,75,st. george,2020-12-30,2022-03-11,13294095872088,good,13.29409,-58.72088
00037,Jones Group Hosp,clinic,75,st. george,2020-12-30,2022-03-11,13294095872088,good,13.29409,-58.72088
038,Chapman PLC,health center,375,christ church,2025-02-11,2018-01-05,59157351270734,good,12.70734,-59.15735
da683e,Good-Martin-and-Wade,hospital,10,st. lucy,2022-01-31,2019-04-06,58981951280190,,12.8019,-58.98195
40,Taylor-Turner Health Centre,community health center,424,st. george,2017-11-18,2021-09-02,58778121324369,needs upgrade,13.24369,-58.77812
a677b0,Richardson-Spencer-and-Johns Hosp,clinic,56,christ church,2020-12-17,2021-10-08,59044281274772,followup ,12.74772,-59.04428
042,Kennedy-Arnold Infirmary,community health center,123,st. joseph,2025-08-24,2018-11-09,,followup ,13.0,-59.0
43,Grimes Wilson and Harvey Health Centre,missing,353,st. michael,2024-04-13,2021-09-19,58868391312192,good,13.12192,-58.86839
44,Nguyen-Poole Health Centre,clinic,387,st. lucy,2017-06-01,2022-03-23,,good,13.0,-59.0
00045,Pierce and Sons Polyclinic,clinic,10,st. peter,2024-11-24,2020-01-06,59154151304323,reinspection due,13.04323,-59.15415
46,Contreras-Moreno Hospital,health center,99,st. michael,2016-08-28,2024-11-24,58995801311947,,13.11947,-58.9958
missing,Jones-Moon,community health center,391,st. james,2023-10-21,2018-09-20,13189185929334,good,13.18918,-59.29334
missing,Ramirez Cooper and Stone Hospital,hospital,193,st. andrew,2024-12-30,2021-10-24,58764731282983,followup ,12.82983,-58.76473
missing,Ramirez Cooper and Stone Hosp,hospital,193,st. andrew,2024-12-30,2021-10-24,58764731282983,followup ,12.82983,-58.76473
00049,Shepard-PLC,clinic,0,st. joseph,2016-06-19,2023-04-08,133058489,,13.3,-58.48
00050,Bean Colon and Baird Infirmary,clinic,0,st. lucy,2024-03-22,2024-07-03,131637585222,,13.1637,-58.5222
00050,Bean Colon and Baird Infirmary,clinic,0,st. lucy,2024-03-22,2024-07-03,131637585222,,13.1637,-58.5222
missing,Pierce Glenn and Norton Hosp,missing,430,st. lucy,2025-10-06,2024-04-04,13159395920132,good,13.15939,-59.20132
cc6b95,Day-Payne,health center,497,st. joseph,2023-06-01,2024-06-22,58918121304085,good,13.04085,-58.91812
053,Turner-and-Sons,polyclinic,226,st. james,2023-03-28,2025-07-30,131517585140,good,13.1517,-58.514
054,Thomas-Rogers ClinicNewLine,missing,308,christ church,2021-01-30,2022-07-10,58918881324203,good,13.24203,-58.91888
054,Thomas-Rogers ClinNewLine,missing,308,christ church,2021-01-30,2022-07-10,58918881324203,good,13.24203,-58.91888
55,Thompson-Macias Hosp,missing,47,st. george,2016-05-04,2021-03-11,59034031279026,,12.79026,-59.03403
56,Webb-King-and-Logan,clinic,223,st. michael,2017-12-05,2018-03-19,12739125905921,reinspection due,12.73912,-59.05921
057,Taylor-Welch,clinic,0,st. peter,2024-01-09,2022-03-03,131117591359,missing,13.1117,-59.1359
a6886a,Walton-Hensley,hospital,10,st. lucy,2022-03-05,2018-01-18,13244935910481,,13.24493,-59.10481
059,Luna LLC Health Centre,community health center,0,st. michael,2024-02-02,2025-01-22,12990035921087,,12.99003,-59.21087
060,Salazar LLC,health center,0,st. joseph,2025-11-30,2019-02-22,,missing,13.0,-59.0
61,Mccarty-Atkins Infirmary,hospital,100,st. james,2024-11-08,2022-02-12,,missing,13.0,-59.0
062,Stevenson-Powell Hospital,missing,300,st. andrew,2018-05-10,2021-05-09,59270021311210,,13.1121,-59.27002
062,Stevenson-Powell Hosp,missing,300,st. andrew,2018-05-10,2021-05-09,59270021311210,,13.1121,-59.27002
missing,Perry Inc,community health center,0,st. lucy,2021-06-11,2024-01-19,134465988,,13.44,-65.98
6b470a,Brown-Harrison,polyclinic,316,st. joseph,2019-10-16,2020-06-18,59114471302715,missing,13.02715,-59.11447
missing,Craig-Mitchell Hosp,missing,236,st. peter,2019-05-08,2025-07-27,,missing,13.0,-59.0
066,Nelson-Long Hosp,hospital,38,christ church,2017-04-01,2018-05-21,58711941301829,,13.01829,-58.71194
missing,Williams Group Hospital,community health center,422,missing,2019-08-05,2025-09-20,59206781284610,followup ,12.8461,-59.20678
missing,Williams Group Hosp,community health center,422,missing,2019-08-05,2025-09-20,59206781284610,followup ,12.8461,-59.20678
068,Henderson Ltd Hospital,missing,0,st. james,2016-09-20,2019-09-27,59289521318085,needs upgrade,13.18085,-59.28952
missing,Davis-Hernandez-and-Simon Infirmary,community health center,466,st. andrew,2019-09-13,2022-07-28,58723881288048,missing,12.88048,-58.72388
070,Wiggins-Rivas Medical Center,health center,115,st. lucy,2025-03-05,2023-05-11,58820871326942,,13.26942,-58.82087
071,Barnes-MccartyNewLine,missing,246,missing,2023-02-04,2021-10-09,,,13.0,-59.0
72,Jimenez-Rodgers Hospital,hospital,0,christ church,2022-12-01,2023-07-19,58897741270043,missing,12.70043,-58.89774
73,Chambers-Hickman,clinic,322,st. john,2016-03-22,2024-07-09,,,13.0,-59.0
HF0074,Lindsey-Li,clinic,0,st. peter,2025-11-21,2019-03-23,13191065883552,reinspection due,13.19106,-58.83552
075,Kim Inc Clinic,missing,0,christ church,2017-09-04,2018-02-02,59132311311191,reinspection due,13.11191,-59.13231
075,Kim Inc Clinic,missing,0,christ church,2017-09-04,2018-02-02,59132311311191,reinspection due,13.11191,-59.13231
076,Davis-Salazar Medical Center,clinic,176,st. andrew,2024-01-18,2024-07-28,,missing,13.0,-59.0
00077,Fields-Sloan Medical Center,polyclinic,0,st. michael,2021-07-30,2020-08-14,58709631285988,needs upgrade,12.85988,-58.70963
e2b345,Malone Jones and Robbins Infirmary,community health center,480,missing,2023-08-08,2020-02-11,59031511296314,reinspection due,12.96314,-59.03151
missing,Cox-Washington-and-Blair,community health center,0,st. james,2017-11-27,2021-12-28,59221641283182,reinspection due,12.83182,-59.22164
missing,Lawrence-Nguyen Medical Center NewLine,polyclinic,0,christ church,2025-12-20,2025-10-21,58761121326527,missing,13.26527,-58.76112
missing,Sellers Gibson and Klein Polyclinic,health center,21,missing,2021-03-24,2023-03-05,,missing,13.0,-59.0
082,Green-Gill Polyclinic,health center,0,christ church,2020-05-06,2022-05-24,,followup ,13.0,-59.0
082,Green-Gill Polyclinic,health center,0,christ church,2020-05-06,2022-05-24,,followup ,13.0,-59.0
083,Williams Schwartz and Bishop Hospital,missing,230,missing,2022-08-23,2024-10-04,59275251294418,missing,12.94418,-59.27525
083,Williams Schwartz and Bishop Hosp,missing,230,missing,2022-08-23,2024-10-04,59275251294418,missing,12.94418,-59.27525
missing,Williams-Inc Health Centre,missing,346,st. michael,2024-06-01,2023-09-03,13037655884780,needs upgrade,13.03765,-58.8478
missing,Solis PLC,clinic,0,st. james,2017-03-06,2018-05-09,58868531325454,,13.25454,-58.86853
86,Hill-Camacho Health Centre,clinic,134,st. joseph,2021-05-22,2025-05-06,58988701299454,missing,12.99454,-58.9887
missing,Williams Sanders and Turner Health Centre,health center,310,st. john,2019-07-31,2024-09-25,58981321288486,followup ,12.88486,-58.98132
missing,Liu-Perez,health center,69,st. andrew,2016-08-16,2018-03-02,,reinspection due,13.0,-59.0
89,Snyder-Morales Medical Center,clinic,166,st. joseph,2021-03-11,2018-12-26,12444059627,good,5.962,-12.444
missing,Garcia LLC Hosp,community health center,0,st. michael,2018-06-09,2025-09-30,1311759651,good,13.117,-59.651
HF0091,Pineda GroupNewLine,hospital,62,christ church,2019-02-19,2024-05-15,,missing,13.0,-59.0
missing,Cole-Inc Hospital,polyclinic,167,st. joseph,2019-12-13,2020-09-30,58864431315694,,13.15694,-58.86443
missing,Cole-Inc Hospital,polyclinic,167,st. joseph,2019-12-13,2020-09-30,58864431315694,,13.15694,-58.86443
0ca67e,Anderson-Stokes,community health center,468,st. michael,2025-07-13,2021-04-02,125625585448,missing,12.5625,-58.5448
94,Fox Ltd,clinic,191,st. peter,2016-05-06,2021-10-06,12954935911045,needs upgrade,12.95493,-59.11045
095,Ray Smith and Turner Hosp,community health center,345,st. lucy,2016-06-05,2021-01-10,13075085870656,good,13.07508,-58.70656
d72c1e,Cruz Ltd Health Centre,community health center,10,st. joseph,2024-12-27,2021-06-13,58706741306407,followup ,13.06407,-58.70674
missing,Kelly Cervantes and Salinas,community health center,417,st. george,2016-12-03,2019-09-19,12704975919715,followup ,12.70497,-59.19715
427288,Johnson Miller and Flores,polyclinic,85,st. michael,2020-07-28,2020-03-11,13234485904058,followup ,13.23448,-59.04058
HF0099,Gallegos PLC,hospital,0,christ church,2017-06-07,2025-06-19,59143301322849,good,13.22849,-59.1433
HF0100,Daniels-Murphy,community health center,0,st. james,2022-12-14,2023-05-28,,,13.0,-59.0
HF0100,Daniels-Murphy,community health center,0,st. james,2022-12-14,2023-05-28,,,13.0,-59.0
8c3ae9,Clark-Flynn,clinic,0,st. john,2019-04-21,2021-08-27,59116281322592,missing,13.22592,-59.11628
8c3ae9,Clark-Flynn,clinic,0,st. john,2019-04-21,2021-08-27,59116281322592,missing,13.22592,-59.11628
102,Harris-Esparza,community health center,488,christ church,2025-07-30,2021-10-07,,,13.0,-59.0
102,Harris-Esparza,community health center,488,christ church,2025-07-30,2021-10-07,,,13.0,-59.0
00103,Gray-Turner Clinic,health center,64,st. michael,2024-12-16,2021-11-08,,,13.0,-59.0
104,George Ltd Clinic,community health center,71,st. andrew,2018-05-24,2024-08-11,58878571305713,reinspection due,13.05713,-58.87857
HF0105,Green-Manning Health Centre,hospital,0,christ church,2019-08-08,2024-08-28,58983271271436,followup ,12.71436,-58.98327
missing,Levy-Rogers Infirmary,community health center,307,st. michael,2016-10-25,2022-11-15,,missing,13.0,-59.0
missing,Levy-Rogers Infirmary,community health center,307,st. michael,2016-10-25,2022-11-15,,missing,13.0,-59.0
107,Mcbride LLC Clinic,clinic,101,st. andrew,2020-08-17,2019-06-03,12472159433,missing,12.472,-15.943
missing,Hansen Serrano and Ramirez Health Centre,community health center,0,st. james,2021-10-12,2018-08-19,1302859738,missing,13.028,-59.738
109,Camacho-Cross Hosp,missing,0,st. lucy,2025-07-01,2019-05-23,58972691285044,good,12.85044,-58.97269
109,Camacho-Cross Hosp,missing,0,st. lucy,2025-07-01,2019-05-23,58972691285044,good,12.85044,-58.97269
110,Walker Ortiz and Hansen Hosp,clinic,285,st. john,2017-08-13,2020-07-20,58800991314742,missing,13.14742,-58.80099
110,Walker Ortiz and Hansen Hosp,clinic,285,st. john,2017-08-13,2020-07-20,58800991314742,missing,13.14742,-58.80099
111,Hardy-Contreras,health center,10,st. peter,2020-12-14,2021-10-03,13165159753,good,13.165,-15.975
2d8089,Richardson-Morales-and-Terry Health Centre,health center,0,st. james,2024-08-17,2019-12-16,1311585937,missing,13.115,-85.937
00113,Miller-Shelton Infirmary,clinic,0,missing,2020-03-15,2019-02-22,125965919,missing,12.59,-65.91
00114,Walsh-Garcia-and-Knox,clinic,314,st. james,2017-04-30,2024-08-06,13121085878480,reinspection due,13.12108,-58.7848
00115,Mcdaniel Inc Health Centre,polyclinic,75,st. james,2023-05-23,2022-10-10,59028091303301,,13.03301,-59.02809
HF0116,Harrison-White,health center,28,st. john,2022-08-14,2021-03-24,59213101273681,needs upgrade,12.73681,-59.2131
HF0117,Adams-Curry Hosp,missing,43,st. michael,2018-10-22,2024-10-13,13091765919394,,13.09176,-59.19394
HF0118,Brady PLC,hospital,0,st. michael,2021-02-19,2019-03-31,13067965897284,,13.06796,-58.97284
00119,Smith-Lloyd Medical Center,missing,136,st. james,2021-10-07,2019-02-24,59091801282763,good,12.82763,-59.0918
00120,Perez Hopkins and Smith,polyclinic,0,st. john,2017-01-18,2024-04-24,59229201309093,missing,13.09093,-59.2292
missing,Erickson-King-and-Mack Hospital,community health center,0,st. george,2020-07-25,2021-12-06,125216591029,followup ,12.5216,-59.1029
missing,Erickson-King-and-Mack Hosp,community health center,0,st. george,2020-07-25,2021-12-06,125216591029,followup ,12.5216,-59.1029
122,Hayes-Brown-and-Hood Polyclinic,missing,351,st. john,2020-10-05,2025-02-15,59142941299770,followup ,12.9977,-59.14294
123,Stewart-Webb,health center,10,christ church,2018-11-16,2019-10-13,13142459158,good,13.142,-45.915
124,Fowler-Wright Infirmary,community health center,0,st. peter,2025-06-09,2018-05-25,1325358483,reinspection due,13.253,-58.483
125,Anderson Wagner and Williams Hospital,clinic,299,st. james,2020-08-29,2019-06-28,13120585036,,13.12,-58.503
HF0126,Moore-Brown Clinic,polyclinic,328,christ church,2020-10-31,2019-12-21,58899341313815,,13.13815,-58.89934
HF0126,Moore-Brown Clin,polyclinic,328,christ church,2020-10-31,2019-12-21,58899341313815,,13.13815,-58.89934
af7b16,Taylor Cabrera and Swanson Clinic,health center,217,st. john,2021-05-19,2020-02-16,,good,13.0,-59.0
307989,Snyder-Moore,missing,450,st. john,2021-06-23,2025-01-28,13546591120,,13.546,-59.112
129,Swanson-Ltd Hosp,hospital,0,st. peter,2024-11-30,2024-10-02,13009625927337,,13.00962,-59.27337
missing,Gregory Miller and Watkins Health Centre,hospital,10,st. peter,2019-06-18,2024-06-15,12975665897619,,12.97566,-58.97619
HF0131,Clements-PLC Hospital,clinic,56,st. lucy,2016-12-17,2020-03-14,12575659214,missing,12.575,-65.921
HF0131,Clements-PLC Hosp,clinic,56,st. lucy,2016-12-17,2020-03-14,12575659214,missing,12.575,-65.921
132,Peterson PLC Clinic,health center,292,missing,2023-06-07,2021-07-04,59178511320252,needs upgrade,13.20252,-59.17851
00133,Woods-Ltd,health center,54,st. john,2023-08-22,2019-03-27,131155985,missing,13.11,-55.98
134,Kerr-Vincent,community health center,10,st. george,2020-12-07,2025-06-19,58816301290485,reinspection due,12.90485,-58.8163
134,Kerr-Vincent,community health center,10,st. george,2020-12-07,2025-06-19,58816301290485,reinspection due,12.90485,-58.8163
missing,Brown-Lucas Clinic,polyclinic,422,st. james,2018-12-23,2018-12-08,58844141290411,reinspection due,12.90411,-58.84414
a6e6a5,Gutierrez-Lawson Polyclinic,hospital,210,st. lucy,2022-04-07,2022-08-30,58942921299588,,12.99588,-58.94292
HF0137,Garcia Eaton and Hooper Hosp,clinic,0,st. andrew,2021-01-11,2021-07-30,12455585955,reinspection due,12.455,-58.595
missing,Murphy-Wolfe Infirmary,community health center,10,st. lucy,2021-04-25,2021-12-11,,needs upgrade,13.0,-59.0
missing,Thompson-Baker,missing,151,st. michael,2023-02-10,2023-04-06,13727591454,,13.727,-59.145
6df688,Good-Bailey Medical Center,polyclinic,314,st. john,2019-06-28,2025-06-07,12779555919385,followup ,12.77955,-59.19385
a22848,Mercado and Sons,polyclinic,199,st. john,2018-11-01,2021-11-11,,reinspection due,13.0,-59.0
f22c91,Bowen Curry and Neal Hospital,clinic,10,st. michael,2025-12-10,2021-10-18,58791091321132,,13.21132,-58.79109
143,Parker-Inc Clinic,community health center,345,missing,2016-02-02,2022-03-23,58799751296476,followup ,12.96476,-58.79975
0d5aae,Curtis Inc Medical Center,missing,0,st. peter,2023-12-24,2023-10-06,58831371329130,,13.2913,-58.83137
HF0145,Arnold White and Barrett Clinic,health center,199,missing,2025-08-31,2019-03-18,,missing,13.0,-59.0
146,Ward-Hudson Hospital,health center,495,st. lucy,2017-07-03,2018-10-05,58776361281417,,12.81417,-58.77636
missing,Patterson and Sons Hosp,health center,221,st. john,2025-07-16,2018-03-11,59029951290651,missing,12.90651,-59.02995
148,Mccarthy-Andersen-and-Jones,community health center,0,st. george,2022-11-19,2024-01-07,130115971,good,13.01,-15.97
149,Bell-and-Sons Infirmary,missing,0,st. joseph,2022-02-07,2023-06-24,58969301308021,,13.08021,-58.9693
00150,Hancock Sanchez and Lin Health Centre,community health center,0,st. michael,2020-07-06,2024-06-22,58776261273962,followup ,12.73962,-58.77626
missing,Gordon-Lozano Infirmary,community health center,417,st. michael,2016-11-15,2019-10-22,125037591332,reinspection due,12.5037,-59.1332
missing,Davis-Carter-and-Johnson Hospital,missing,113,missing,2020-05-24,,59007151280279,,12.80279,-59.00715
missing,Wilkins-Inc,community health center,5,christ church,2020-08-26,2022-11-03,59074131278907,,12.78907,-59.07413
missing,Hall-Cox Hospital,community health center,477,christ church,2024-08-17,2020-10-05,58971791273379,missing,12.73379,-58.97179
155,Graves and Sons,health center,129,st. michael,2023-05-12,2020-08-11,58798721329619,,13.29619,-58.79872
missing,Freeman-Newton,clinic,263,st. peter,2016-12-14,2024-07-07,59056941294787,missing,12.94787,-59.05694
HF0157,Cisneros and Sons Medical Center,community health center,344,st. peter,2020-10-09,2019-10-25,13078995884994,missing,13.07899,-58.84994
158,Lewis-Hernandez,health center,95,st. lucy,2017-10-17,2022-05-17,58994371280165,reinspection due,12.80165,-58.99437
HF0159,Harris Martin and Hayden Health Centre,missing,191,missing,2025-04-07,2020-11-25,59003181297798,missing,12.97798,-59.00318
HF0160,Hernandez-Green Hospital,polyclinic,0,missing,2024-03-18,2018-02-09,58919081319163,,13.19163,-58.91908
HF0161,Ingram-Thomas Clinic,clinic,396,st. joseph,2020-07-05,2025-01-25,13086615914029,missing,13.08661,-59.14029
162,Cooper-Gardner Medical Center,hospital,46,st. joseph,2017-10-24,2021-03-28,58891651275936,followup ,12.75936,-58.89165
00163,Walker PLC,community health center,10,christ church,2018-04-01,2024-10-19,,good,13.0,-59.0
164,Nash Inc Health Centre,clinic,0,christ church,2017-01-20,2020-05-01,13951591716,missing,13.951,-59.171
00165,Jones Allen and Powell Clinic,polyclinic,235,st. george,2021-06-24,2023-07-17,12702655915354,missing,12.70265,-59.15354
missing,Bishop-Phelps,clinic,202,st. james,2020-04-01,2019-07-04,1322659937,missing,13.226,-59.937
167,Fields-Johnson Medical Center,health center,327,st. lucy,2021-06-06,2020-10-09,58755181282892,,12.82892,-58.75518
00168,Anderson LLC Polyclinic,hospital,274,st. michael,2023-07-23,2025-11-03,59189731329045,,13.29045,-59.18973
missing,Allison PLC,polyclinic,20,st. george,2023-07-11,2020-08-25,125436584647,missing,12.5436,-58.4647
missing,Patrick PLC Health Centre,community health center,0,st. george,,2020-12-14,1321459518,,13.214,-59.518
00171,Khan-Jones,community health center,7,christ church,2023-04-06,2023-03-27,,missing,13.0,-59.0
missing,Johnson Burke and Edwards Health Centre,clinic,0,st. peter,2021-08-23,2019-05-12,,needs upgrade,13.0,-59.0
missing,Nicholson-Little Hosp,community health center,283,st. lucy,2020-11-24,2025-11-25,,followup ,13.0,-59.0
00174,Peterson Inc,hospital,369,st. george,2025-04-13,2022-07-03,13135359853,,13.135,-35.985
HF0175,Singh-Inc,polyclinic,175,st. andrew,,2022-03-06,58820491290014,good,12.90014,-58.82049
missing,Young Dunlap and Mata,community health center,0,st. john,2022-09-11,2021-07-14,125005973,,5.97,-12.5
177,Rivera-Walker-and-Alexander,health center,20,st. john,2023-01-21,2024-10-21,13088605917347,missing,13.0886,-59.17347
e09941,Nelson Hill and Odonnell,clinic,0,st. george,2025-11-09,2022-08-24,59291351311993,missing,13.11993,-59.29135
missing,Williams Ltd,community health center,0,st. michael,2017-11-22,2020-11-01,58772571290949,missing,12.90949,-58.77257
missing,Williams Ltd,community health center,0,st. michael,2017-11-22,2020-11-01,58772571290949,missing,12.90949,-58.77257
180,Washington Inc Health Centre,missing,10,st. george,2018-05-05,2023-10-18,124339591537,missing,12.4339,-59.1537
HF0181,Walker-Oneal Hospital,community health center,10,christ church,2025-12-12,2022-11-18,58842771307029,,13.07029,-58.84277
182,Zamora-Ltd,hospital,30,st. george,2020-05-05,2018-06-25,58764951326066,missing,13.26066,-58.76495
00183,Butler Ramos and Anderson,polyclinic,10,st. andrew,2024-11-06,,12544359745,,12.544,-35.974
missing,Wallace Perry and Gonzales Infirmary,missing,0,missing,2017-07-13,2020-10-03,,reinspection due,13.0,-59.0
8232bf,Wolfe Ltd Polyclinic,community health center,0,st. andrew,2021-08-24,2019-05-11,58750461280114,followup ,12.80114,-58.75046
186,Medina-and-Sons Hospital,missing,0,christ church,2019-06-23,2020-08-07,,,13.0,-59.0
HF0187,Rhodes and Sons,hospital,215,st. lucy,2023-09-15,2023-06-09,58754481313166,needs upgrade,13.13166,-58.75448
HF0188,Myers Inc Medical Center,missing,406,st. peter,2020-12-19,2023-12-25,58709131300881,,13.00881,-58.70913
missing,Horne-Baker Medical Center,polyclinic,0,st. john,2021-08-10,2018-10-21,59181701329643,,13.29643,-59.1817
missing,Jimenez Mullins and Hamilton Hospital,missing,0,st. michael,2017-04-19,2018-04-09,13098655921086,,13.09865,-59.21086
3e22ac,King-Smith InfirmaryNewLine,missing,0,st. peter,2020-07-03,2025-05-31,,missing,13.0,-59.0
HF0192,Barnett Lee and Malone Hosp,hospital,10,st. andrew,2025-07-16,2020-03-26,59233821315991,,13.15991,-59.23382
missing,Cohen Phillips and Powell Clinic,missing,381,st. joseph,2019-10-01,2025-08-14,124816585350,missing,12.4816,-58.535
22fe4e,Conrad-Clark-and-Wong,clinic,10,st. john,2016-09-01,2018-05-31,58761181298474,,12.98474,-58.76118
00195,Jackson Lynn and Jones Infirmary,health center,10,st. michael,2022-08-04,2023-09-05,1242345991,missing,12.423,-45.991
missing,Johnson-Martinez,polyclinic,131,st. peter,2018-03-21,2025-03-10,59288491273095,needs upgrade,12.73095,-59.28849
197,Reed Group,health center,137,st. george,2021-08-09,2018-12-17,13196055895608,good,13.19605,-58.95608
0e7646,Lewis-Hill-and-Love,community health center,0,st. michael,2021-01-29,2021-06-30,58728981308813,good,13.08813,-58.72898
00199,Anderson-Esparza Health Centre,polyclinic,191,missing,2018-03-04,2022-05-08,,needs upgrade,13.0,-59.0
HF0200,Austin Smith and Hamilton Hosp,clinic,0,christ church,2025-08-10,2023-06-08,12704685877693,,12.70468,-58.77693
201,Holmes and Sons,community health center,339,st. andrew,2025-06-11,2023-06-23,13103059843,missing,5.984,-13.103
b16cad,Smith-Carlson Clinic,clinic,39,st. andrew,2017-04-22,2024-05-17,13275825886276,reinspection due,13.27582,-58.86276
b16cad,Smith-Carlson Clin,clinic,39,st. andrew,2017-04-22,2024-05-17,13275825886276,reinspection due,13.27582,-58.86276
203,Flores-Group Hospital,polyclinic,126,st. andrew,2024-05-06,2019-04-10,58869371277601,missing,12.77601,-58.86937
00204,Baker Castaneda and Erickson Clinic,community health center,0,st. john,2017-06-17,2019-10-22,58851141270715,reinspection due,12.70715,-58.85114
00204,Baker Castaneda and Erickson Clin,community health center,0,st. john,2017-06-17,2019-10-22,58851141270715,reinspection due,12.70715,-58.85114
00205,Wheeler-PLC Infirmary,community health center,96,st. john,2020-12-03,2022-12-03,12543459259,reinspection due,12.543,-45.925
missing,Smith and Sons Medical Center,hospital,27,st. andrew,2025-11-13,2025-06-27,58700161277962,,12.77962,-58.70016
